  0%|                                                                                                                                                                                     | 0/6468 [00:00<?, ?it/s]Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
                                                                                                                                                                                                                   
{'loss': 1.9437, 'grad_norm': 15.738945960998535, 'learning_rate': 4.960575139146568e-05, 'epoch': 0.01}
{'loss': 2.4344, 'grad_norm': 13.880879402160645, 'learning_rate': 4.9598021026592456e-05, 'epoch': 0.01}
{'loss': 1.9073, 'grad_norm': 11.336045265197754, 'learning_rate': 4.959029066171923e-05, 'epoch': 0.01}
{'loss': 1.968, 'grad_norm': 13.340235710144043, 'learning_rate': 4.9582560296846016e-05, 'epoch': 0.01}
{'loss': 1.8712, 'grad_norm': 9.386228561401367, 'learning_rate': 4.957482993197279e-05, 'epoch': 0.01}
{'loss': 1.6921, 'grad_norm': 10.04798698425293, 'learning_rate': 4.956709956709957e-05, 'epoch': 0.01}
{'loss': 3.3301, 'grad_norm': 16.415559768676758, 'learning_rate': 4.9559369202226345e-05, 'epoch': 0.01}
{'loss': 2.6855, 'grad_norm': 15.826720237731934, 'learning_rate': 4.955163883735313e-05, 'epoch': 0.01}
{'loss': 1.5444, 'grad_norm': 16.0939998626709, 'learning_rate': 4.9543908472479905e-05, 'epoch': 0.01}
{'loss': 2.2638, 'grad_norm': 15.880343437194824, 'learning_rate': 4.953617810760668e-05, 'epoch': 0.01}
{'loss': 1.7358, 'grad_norm': 12.573150634765625, 'learning_rate': 4.952844774273346e-05, 'epoch': 0.01}
{'loss': 2.0156, 'grad_norm': 14.413082122802734, 'learning_rate': 4.952071737786024e-05, 'epoch': 0.01}
{'loss': 1.9443, 'grad_norm': 14.480484962463379, 'learning_rate': 4.951298701298702e-05, 'epoch': 0.01}
{'loss': 1.2571, 'grad_norm': 13.43667221069336, 'learning_rate': 4.9505256648113793e-05, 'epoch': 0.01}
{'loss': 2.089, 'grad_norm': 7.975083351135254, 'learning_rate': 4.949752628324057e-05, 'epoch': 0.01}
{'loss': 1.694, 'grad_norm': 11.696381568908691, 'learning_rate': 4.9489795918367346e-05, 'epoch': 0.01}
{'loss': 2.2097, 'grad_norm': 9.490007400512695, 'learning_rate': 4.948206555349413e-05, 'epoch': 0.01}
{'loss': 1.7926, 'grad_norm': 21.680744171142578, 'learning_rate': 4.9474335188620906e-05, 'epoch': 0.01}
{'loss': 2.4091, 'grad_norm': 9.14412784576416, 'learning_rate': 4.946660482374768e-05, 'epoch': 0.01}
{'loss': 1.9009, 'grad_norm': 9.529004096984863, 'learning_rate': 4.945887445887446e-05, 'epoch': 0.01}
